reader(7)  get:6   start:74.07343   end:74.18897 
reader(6)  get:6   start:73.01392   end:74.53815 
reader(2)  get:6   start:72.72670   end:74.54143 
reader(4)  get:6   start:73.46984   end:74.67800 
reader(8)  get:6   start:72.88656   end:74.92155 
reader(4)  get:6   start:74.83836   end:75.00955 
reader(1)  get:6   start:73.79835   end:75.28974 
reader(6)  get:6   start:75.20542   end:76.10757 
reader(6)  get:6   start:76.17668   end:76.40679 
reader(3)  get:6   start:75.09148   end:76.50313 
reader(2)  get:6   start:76.33169   end:76.77491 
reader(7)  get:6   start:75.27494   end:76.82814 
reader(5)  get:6   start:75.81293   end:76.83218 
reader(3)  get:6   start:76.80153   end:76.91291 
reader(1)  get:6   start:75.94719   end:77.09057 
reader(2)  get:6   start:76.88315   end:77.11239 
reader(4)  get:6   start:76.09369   end:77.32293 
reader(8)  get:6   start:76.75374   end:78.05691 
reader(1)  get:6   start:77.28690   end:78.15301 
reader(7)  get:6   start:77.96449   end:78.27969 
reader(6)  get:6   start:77.68214   end:78.93952 
reader(2)  get:6   start:78.69761   end:79.00578 
reader(3)  get:6   start:78.28921   end:79.16740 
reader(5)  get:6   start:77.92149   end:79.42966 
reader(1)  get:6   start:79.27820   end:79.43238 
reader(3)  get:6   start:79.22256   end:79.58388 
reader(4)  get:6   start:78.87212   end:80.12740 
reader(8)  get:6   start:79.00338   end:80.32158 
reader(6)  get:6   start:80.07682   end:80.42313 
reader(2)  get:6   start:80.37508   end:80.76736 
reader(7)  get:6   start:80.12414   end:81.38137 
reader(5)  get:6   start:79.55482   end:81.61012 
reader(6)  get:6   start:82.13556   end:82.47810 
reader(3)  get:6   start:80.54109   end:82.58626 
reader(1)  get:6   start:81.38160   end:83.01095 
reader(4)  get:6   start:81.19372   end:83.20287 
reader(3)  get:6   start:83.10850   end:83.49685 
reader(8)  get:6   start:82.13778   end:83.63611 
reader(2)  get:6   start:82.43547   end:83.76470 
reader(5)  get:6   start:82.62442   end:83.79768 
reader(7)  get:6   start:83.37256   end:84.13275 
reader(6)  get:6   start:83.66761   end:84.48314 
reader(1)  get:6   start:84.53513   end:85.26835 
reader(8)  get:6   start:84.34643   end:85.27552 
reader(4)  get:6   start:84.98819   end:85.53656 
reader(7)  get:6   start:84.53010   end:85.98540 
reader(8)  get:6   start:86.22593   end:86.49300 
reader(3)  get:6   start:84.56001   end:86.53622 
reader(5)  get:6   start:84.56183   end:86.64022 
reader(2)  get:6   start:85.08913   end:86.91582 
reader(6)  get:6   start:85.20257   end:86.99199 
reader(1)  get:6   start:85.66063   end:87.23983 
reader(7)  get:6   start:86.48354   end:88.30470 
reader(1)  get:6   start:87.44620   end:88.42946 
reader(5)  get:6   start:87.10661   end:88.57478 
reader(4)  get:6   start:86.69088   end:88.76718 
reader(2)  get:6   start:86.94222   end:89.03251 
reader(7)  get:6   start:88.78390   end:89.11505 
reader(6)  get:6   start:88.81324   end:89.14366 
reader(3)  get:6   start:87.49061   end:89.22581 
reader(8)  get:6   start:88.38949   end:90.25473 
reader(6)  get:6   start:89.35084   end:90.84110 
reader(4)  get:6   start:89.36036   end:90.91467 
reader(3)  get:6   start:90.45714   end:90.95141 
reader(2)  get:6   start:90.25884   end:90.96606 
reader(1)  get:6   start:90.38584   end:91.14515 
reader(5)  get:6   start:89.45097   end:91.17525 
reader(7)  get:6   start:90.78019   end:91.21263 
writer(1)     start:91.21354    end:92.51400 
writer(2)     start:92.51408    end:92.77035 
reader(5)  get:8   start:92.77010   end:93.50544 
reader(1)  get:8   start:92.77070   end:93.93912 
reader(7)  get:8   start:93.16289   end:94.11901 
reader(3)  get:8   start:92.77046   end:94.25386 
reader(8)  get:8   start:92.77006   end:94.27419 
reader(2)  get:8   start:92.76885   end:94.29724 
reader(6)  get:8   start:92.77859   end:94.49416 
reader(3)  get:8   start:94.26503   end:94.59019 
reader(4)  get:8   start:92.77055   end:94.86868 
reader(8)  get:8   start:94.34739   end:95.12857 
reader(1)  get:8   start:94.77528   end:95.44552 
reader(5)  get:8   start:94.28582   end:95.57799 
